id,date_added,common_name,other_names,region,country,reference,image,vips_smartcrop,notes
1,2024-02-12,Eland,Common eland,"Africa,Southern Africa",Kenya,https://en.wikipedia.org/wiki/Southeast_African_cheetah,https://upload.wikimedia.org/wikipedia/commons/1/13/Cheetah%2C_Masai_Mara_%2852448476886%29.jpg,attention,
2,2024-02-12,Cheetah,Southeast African cheetah,"Africa,Southern Africa",Kenya,https://en.wikipedia.org/wiki/Common_eland,https://upload.wikimedia.org/wikipedia/commons/f/fe/Common_eland_mara.jpg,attention,
3,2024-02-12,Warthog,"Common warthog,Central African warthog","Africa,Sub-Saharan Africa",Kenya,https://en.wikipedia.org/wiki/Common_warthog,https://upload.wikimedia.org/wikipedia/commons/0/05/Female_warthog_with_young.jpg,attention,
4,2024-02-12,Ostrich,"Maasai ostrich,East African ostrich","Africa,Eastern Africa",Kenya,https://en.wikipedia.org/wiki/Masai_ostrich,https://upload.wikimedia.org/wikipedia/commons/9/9d/Masai_Ostrich_%287515523078%29.jpg,attention,
5,2024-02-12,Giraffe,Maasai giraffe,"Africa,Eastern Africa",Kenya,https://en.wikipedia.org/wiki/Masai_giraffe,https://upload.wikimedia.org/wikipedia/commons/4/4e/GiraffaCamelopardalisTippelskirchi-Masaai-Mara.JPG,attention,
6,2024-02-12,Impala,Common impala,"Africa,Southern Africa",Kenya,https://en.wikipedia.org/wiki/Impala,https://upload.wikimedia.org/wikipedia/commons/e/e1/Trotting_impala_ram%2C_crop.jpg,attention,
7,2024-02-12,Leopard,African leopard,"Africa,Sub-Saharan Africa",Kenya,https://en.wikipedia.org/wiki/African_leopard,https://upload.wikimedia.org/wikipedia/commons/2/23/Leopard_%28Panthera_pardus%29.jpg,entropy,
8,2024-02-12,Plains zebra,Grant’s zebra,"Africa,Sub-Saharan Africa",Kenya,https://en.wikipedia.org/wiki/Grant%27s_zebra,https://upload.wikimedia.org/wikipedia/commons/6/60/Equus_quagga.jpg,entropy,
9,2024-02-12,Elephant,"African bush elephant,African savanna elephant","Africa,Sub-Saharan Africa",Kenya,https://en.wikipedia.org/wiki/African_bush_elephant,https://upload.wikimedia.org/wikipedia/commons/3/37/African_Bush_Elephant.jpg,attention,
10,2024-02-12,Thomson's gazelle,,"Africa,Eastern Africa",Kenya,https://en.wikipedia.org/wiki/Thomson%27s_gazelle,https://upload.wikimedia.org/wikipedia/commons/4/41/Serengeti_Thomson-Gazelle3.jpg,attention,
11,2024-02-12,Grant's gazelle,,"Africa,Eastern Africa",Kenya,https://en.wikipedia.org/wiki/Grant's_gazelle,https://upload.wikimedia.org/wikipedia/commons/b/bf/Grant%27s_Gazelle_taxobox.jpg,entropy,
12,2024-02-13,Wildebeest,Blue wildebeest,"Africa,Eastern Africa",Kenya,https://en.wikipedia.org/wiki/Blue_wildebeest,https://upload.wikimedia.org/wikipedia/commons/3/3a/Blue_wildebeest_%28Connochaetes_taurinus_taurinus%29_female_and_calf.jpg,centre,
13,2024-02-13,Waterbuck,East African defassa waterbuck,"Africa,Eastern Africa",Kenya,https://en.wikipedia.org/wiki/Waterbuck,https://upload.wikimedia.org/wikipedia/commons/d/d7/Ugandan_defassa_waterbuck_%28Kobus_ellipsiprymnus_defassa%29_juvenile_male.jpg,centre,
14,2024-02-13,Hippopotamus,,"Africa,Sub-Saharan Africa",Kenya,https://en.wikipedia.org/wiki/Hippopotamus,https://upload.wikimedia.org/wikipedia/commons/f/f2/Portrait_Hippopotamus_in_the_water.jpg,low,
15,2024-02-13,Rhinoceros,Black rhinoceros,"Africa,Sub-Saharan Africa",Kenya,https://en.wikipedia.org/wiki/Black_rhinoceros,https://upload.wikimedia.org/wikipedia/commons/6/69/Black_Rhino_at_Working_with_Wildlife.jpg,attention,
16,2024-02-13,Buffalo,African buffalo,"Africa,Sub-Saharan Africa",Kenya,https://en.wikipedia.org/wiki/African_buffalo,https://upload.wikimedia.org/wikipedia/commons/1/13/African_buffalo_%28Syncerus_caffer_caffer%29_male_with_cattle_egret.jpg,attention,
